customer_id,customer_tenure,customer_location,customer_type,order_id,order_date,order_value,payment_method,order_frequency,discount_applied,return_status,product_category,product_sku,size,inventory_status,source,engagement_score,tenure_category,customer_lifetime_value,total_sales,risk_of_stockout
CUST00001,39,Delhi,Returning,ORD000001,00:04:52,4015.21,Net Banking,9,5,Yes,Jackets,SKU0001,XXL,In Stock,Word of Mouth,36,Medium,36136.89,3814.4494999999997,True
CUST00002,52,Hyderabad,Returning,ORD000002,00:39:38,2205.61,Credit Card,3,15,Yes,T-Shirts,SKU0002,S,Out of Stock,Google Ads,37,High,6616.83,1874.7685000000001,False
CUST00003,29,Pune,Returning,ORD000003,00:15:19,858.84,Net Banking,8,30,Yes,T-Shirts,SKU0003,L,In Stock,Email Marketing,95,Low,6870.72,601.188,True
CUST00004,15,Jaipur,Returning,ORD000004,00:52:58,500.0,UPI,1,0,Yes,T-Shirts,SKU0004,XXL,In Stock,Word of Mouth,10,Very Low,500.0,500.0,False
CUST00005,43,Pune,Returning,ORD000005,00:17:40,1843.5,Wallet,9,40,Yes,Sweatshirts,SKU0005,L,In Stock,Word of Mouth,0,Medium,16591.5,1106.1,True
CUST00006,8,Delhi,New,ORD000006,00:36:02,720.5,COD,9,20,No,T-Shirts,SKU0006,XXL,In Stock,Email Marketing,24,Very Low,6484.5,576.4,True
CUST00007,21,Delhi,Returning,ORD000007,00:33:09,6396.56,Net Banking,2,30,Yes,T-Shirts,SKU0007,XXL,In Stock,Instagram,41,Low,12793.12,4477.592,False
CUST00008,39,Delhi,Returning,ORD000008,00:25:14,1524.44,Net Banking,4,15,Yes,Shirts,SKU0008,S,In Stock,Email Marketing,51,Medium,6097.76,1295.7740000000001,False
CUST00009,58,Kolkata,Returning,ORD000009,00:43:58,1483.44,Credit Card,8,25,Yes,T-Shirts,SKU0009,M,In Stock,Facebook Ads,23,High,11867.52,1112.58,True
CUST00010,19,Kolkata,Returning,ORD000010,00:28:17,500.0,Credit Card,7,0,Yes,Jeans,SKU0010,XXL,In Stock,Email Marketing,52,Low,3500.0,500.0,True
CUST00011,23,Bangalore,Returning,ORD000011,00:28:17,2100.52,Net Banking,1,30,Yes,Jackets,SKU0011,XXL,In Stock,Instagram,55,Low,2100.52,1470.3639999999998,False
CUST00012,11,Bangalore,New,ORD000012,00:36:45,1503.2,UPI,5,0,No,Sweatshirts,SKU0012,S,In Stock,Email Marketing,62,Very Low,7516.0,1503.2,False
CUST00013,11,Delhi,New,ORD000013,00:17:40,5106.59,COD,7,30,No,Dresses,SKU0013,M,Out of Stock,Word of Mouth,80,Very Low,35746.130000000005,3574.613,False
CUST00014,24,Hyderabad,Returning,ORD000014,00:14:57,2752.71,Credit Card,4,50,Yes,Jackets,SKU0014,XL,In Stock,Google Ads,7,Low,11010.84,1376.355,False
CUST00015,53,Mumbai,Returning,ORD000015,00:01:16,2486.7,UPI,1,0,Yes,Shirts,SKU0015,XL,In Stock,Word of Mouth,58,High,2486.7,2486.7,False
CUST00016,36,Kolkata,Returning,ORD000016,00:57:18,2297.99,Wallet,9,0,Yes,Sweatshirts,SKU0016,M,In Stock,Google Ads,44,Medium,20681.909999999996,2297.99,True
CUST00017,40,Hyderabad,Returning,ORD000017,00:53:09,3679.26,Credit Card,5,25,Yes,Sweatshirts,SKU0017,L,In Stock,Email Marketing,26,Medium,18396.300000000003,2759.445,False
CUST00018,24,Chennai,Returning,ORD000018,00:28:39,1821.51,UPI,2,0,Yes,Jeans,SKU0018,S,In Stock,Facebook Ads,51,Low,3643.02,1821.51,False
CUST00019,3,Kolkata,New,ORD000019,00:43:15,3500.81,UPI,8,30,No,Jackets,SKU0019,M,In Stock,Email Marketing,17,Very Low,28006.48,2450.567,True
CUST00020,22,Kolkata,Returning,ORD000020,00:46:40,4920.95,COD,2,0,Yes,Jackets,SKU0020,XL,In Stock,Instagram,90,Low,9841.9,4920.95,False
CUST00021,53,Bangalore,Returning,ORD000021,00:14:25,3190.11,COD,3,0,Yes,T-Shirts,SKU0021,XXL,In Stock,Email Marketing,85,High,9570.33,3190.11,False
CUST00022,2,Mumbai,New,ORD000022,00:56:02,2125.4,Wallet,1,50,No,Jeans,SKU0022,XL,In Stock,Google Ads,15,Very Low,2125.4,1062.7,False
CUST00023,24,Mumbai,Returning,ORD000023,00:12:37,1069.81,UPI,2,20,Yes,T-Shirts,SKU0023,XXL,Out of Stock,Word of Mouth,65,Low,2139.62,855.848,False
CUST00024,44,Jaipur,Returning,ORD000024,00:35:19,2087.31,UPI,7,30,Yes,T-Shirts,SKU0024,S,Out of Stock,Facebook Ads,4,Medium,14611.17,1461.117,False
CUST00025,30,Pune,Returning,ORD000025,00:59:28,3344.62,COD,2,5,Yes,Sweatshirts,SKU0025,XXL,In Stock,Email Marketing,81,Low,6689.24,3177.3889999999997,False
CUST00026,38,Pune,Returning,ORD000026,00:42:31,500.0,Credit Card,6,20,Yes,Jackets,SKU0026,M,In Stock,Email Marketing,2,Medium,3000.0,400.0,True
CUST00027,2,Pune,New,ORD000027,00:08:17,3747.31,Credit Card,3,15,No,T-Shirts,SKU0027,XXL,In Stock,Word of Mouth,90,Very Low,11241.93,3185.2135,False
CUST00028,60,Pune,Returning,ORD000028,00:15:19,2811.42,Net Banking,4,20,Yes,Shirts,SKU0028,L,In Stock,Facebook Ads,80,High,11245.68,2249.136,False
