customer_id,customer_tenure,customer_location,customer_type,order_id,order_date,order_value,payment_method,order_frequency,discount_applied,return_status,product_category,product_sku,size,inventory_status,source,engagement_score
CUST00001,39,Delhi,Returning,ORD000001,00:04:52,4015.21,Net Banking,9,5,No,Jackets,SKU0001,XXL,In Stock,Word of Mouth,36
CUST00002,52,Hyderabad,Returning,ORD000002,00:39:38,2205.61,Credit Card,3,15,No,T-Shirts,SKU0002,S,Out of Stock,Google Ads,37
CUST00003,29,Pune,Returning,ORD000003,00:15:19,858.84,Net Banking,8,30,No,T-Shirts,SKU0003,L,In Stock,Email Marketing,95
CUST00004,15,Jaipur,Returning,ORD000004,00:52:58,500,UPI,1,0,No,T-Shirts,SKU0004,XXL,In Stock,Word of Mouth,10
CUST00005,43,Pune,Returning,ORD000005,00:17:40,1843.5,Wallet,9,40,Yes,Sweatshirts,SKU0005,L,In Stock,Word of Mouth,0
CUST00006,8,Delhi,New,ORD000006,00:36:02,720.5,COD,9,20,No,T-Shirts,SKU0006,XXL,In Stock,Email Marketing,24
CUST00007,21,Delhi,Returning,ORD000007,00:33:09,6396.56,Net Banking,2,30,Yes,T-Shirts,SKU0007,XXL,In Stock,Instagram,41
CUST00008,39,Delhi,Returning,ORD000008,00:25:14,1524.44,Net Banking,4,15,Yes,Shirts,SKU0008,S,In Stock,Email Marketing,51
CUST00009,58,Kolkata,Returning,ORD000009,00:43:58,1483.44,Credit Card,8,25,No,T-Shirts,SKU0009,M,In Stock,Facebook Ads,23
CUST00010,19,Kolkata,Returning,ORD000010,00:28:17,500,Credit Card,7,0,No,Jeans,SKU0010,XXL,In Stock,Email Marketing,52
CUST00011,23,Bangalore,Returning,ORD000011,00:28:17,2100.52,Net Banking,1,30,No,Jackets,SKU0011,XXL,In Stock,Instagram,55
CUST00012,11,Bangalore,New,ORD000012,00:36:45,1503.2,UPI,5,0,No,Sweatshirts,SKU0012,S,In Stock,Email Marketing,62
CUST00013,11,Delhi,New,ORD000013,00:17:40,5106.59,COD,7,30,No,Dresses,SKU0013,M,Out of Stock,Word of Mouth,80
CUST00014,24,Hyderabad,Returning,ORD000014,00:14:57,2752.71,Credit Card,4,50,No,Jackets,SKU0014,XL,In Stock,Google Ads,7
CUST00015,53,Mumbai,Returning,ORD000015,00:01:16,2486.7,UPI,1,0,No,Shirts,SKU0015,XL,In Stock,Word of Mouth,58
CUST00016,36,Kolkata,Returning,ORD000016,00:57:18,2297.99,Wallet,9,0,No,Sweatshirts,SKU0016,M,In Stock,Google Ads,44
CUST00017,40,Hyderabad,Returning,ORD000017,00:53:09,3679.26,Credit Card,5,25,No,Sweatshirts,SKU0017,L,In Stock,Email Marketing,26
CUST00018,24,Chennai,Returning,ORD000018,00:28:39,1821.51,UPI,2,0,No,Jeans,SKU0018,S,In Stock,Facebook Ads,51
CUST00019,3,Kolkata,New,ORD000019,00:43:15,3500.81,UPI,8,30,No,Jackets,SKU0019,M,In Stock,Email Marketing,17
CUST00020,22,Kolkata,Returning,ORD000020,00:46:40,4920.95,COD,2,0,Yes,Jackets,SKU0020,XL,In Stock,Instagram,90
CUST00021,53,Bangalore,Returning,ORD000021,00:14:25,3190.11,COD,3,0,No,T-Shirts,SKU0021,XXL,In Stock,Email Marketing,85
CUST00022,2,Mumbai,New,ORD000022,00:56:02,2125.4,Wallet,1,50,No,Jeans,SKU0022,XL,In Stock,Google Ads,15
CUST00023,24,Mumbai,Returning,ORD000023,00:12:37,1069.81,UPI,2,20,No,T-Shirts,SKU0023,XXL,Out of Stock,Word of Mouth,65
CUST00024,44,Jaipur,Returning,ORD000024,00:35:19,2087.31,UPI,7,30,Yes,T-Shirts,SKU0024,S,Out of Stock,Facebook Ads,4
CUST00025,30,Pune,Returning,ORD000025,00:59:28,3344.62,COD,2,5,No,Sweatshirts,SKU0025,XXL,In Stock,Email Marketing,81
CUST00026,38,Pune,Returning,ORD000026,00:42:31,500,Credit Card,6,20,No,Jackets,SKU0026,M,In Stock,Email Marketing,2
CUST00027,2,Pune,New,ORD000027,00:08:17,3747.31,Credit Card,3,15,No,T-Shirts,SKU0027,XXL,In Stock,Word of Mouth,90
CUST00028,60,Pune,Returning,ORD000028,00:15:19,2811.42,Net Banking,4,20,Yes,Shirts,SKU0028,L,In Stock,Facebook Ads,80
CUST00029,21,Chennai,Returning,ORD000029,00:16:24,2276.22,COD,8,20,No,Shirts,SKU0029,M,In Stock,Email Marketing,79
CUST00030,33,Chennai,Returning,ORD000030,00:32:48,1510.88,Net Banking,3,15,No,Jackets,SKU0030,S,In Stock,Email Marketing,69
CUST00031,12,Kolkata,New,ORD000031,00:47:02,1785.43,COD,6,10,No,Shirts,SKU0031,M,In Stock,Google Ads,6
CUST00032,58,Delhi,Returning,ORD000032,00:33:31,3395.96,Wallet,1,0,No,Sweatshirts,SKU0032,L,In Stock,Google Ads,49
CUST00033,22,Bangalore,Returning,ORD000033,00:12:26,2307.68,UPI,7,25,No,Jeans,SKU0033,S,In Stock,Instagram,13
CUST00034,44,Bangalore,Returning,ORD000034,00:36:13,1748.29,Wallet,8,0,No,Dresses,SKU0034,XL,In Stock,Word of Mouth,37
CUST00035,25,Pune,Returning,ORD000035,00:40:43,3202.85,COD,8,20,Yes,T-Shirts,SKU0035,L,In Stock,Facebook Ads,78
CUST00036,49,Kolkata,Returning,ORD000036,00:01:16,3262.28,UPI,3,0,Yes,Dresses,SKU0036,S,In Stock,Email Marketing,46
CUST00037,27,Jaipur,Returning,ORD000037,00:56:24,626.24,Credit Card,1,20,No,Jeans,SKU0037,XXL,In Stock,Email Marketing,32
CUST00038,59,Hyderabad,Returning,ORD000038,00:58:23,3357.22,Credit Card,9,25,No,Jeans,SKU0038,M,In Stock,Instagram,42
CUST00039,42,Delhi,Returning,ORD000039,00:32:37,6252.55,Net Banking,6,0,Yes,Sweatshirts,SKU0039,S,In Stock,Email Marketing,90
CUST00040,28,Kolkata,Returning,ORD000040,00:47:34,3204.43,COD,9,0,No,Shirts,SKU0040,M,In Stock,Word of Mouth,28
CUST00041,60,Delhi,Returning,ORD000041,00:11:32,500,COD,7,0,No,Shirts,SKU0041,XXL,In Stock,Instagram,56
CUST00042,16,Delhi,Returning,ORD000042,00:47:56,2766.06,Credit Card,1,20,Yes,Jeans,SKU0042,S,In Stock,Word of Mouth,100
CUST00043,15,Delhi,Returning,ORD000043,00:46:29,500,Wallet,1,30,No,Sweatshirts,SKU0043,XL,In Stock,Instagram,4
CUST00044,47,Kolkata,Returning,ORD000044,00:51:21,7251.06,UPI,6,0,Yes,Sweatshirts,SKU0044,L,In Stock,Email Marketing,92
CUST00045,51,Pune,Returning,ORD000045,00:15:41,5853.51,Wallet,5,25,Yes,Jackets,SKU0045,S,Out of Stock,Instagram,95
CUST00046,44,Bangalore,Returning,ORD000046,00:46:18,1501.09,Wallet,9,5,Yes,T-Shirts,SKU0046,XXL,In Stock,Google Ads,59
CUST00047,55,Bangalore,Returning,ORD000047,00:46:40,500,Credit Card,2,10,No,Shirts,SKU0047,S,In Stock,Facebook Ads,69
CUST00048,52,Pune,Returning,ORD000048,00:31:10,1182.44,Credit Card,8,40,Yes,Jeans,SKU0048,M,Out of Stock,Email Marketing,1
CUST00049,57,Delhi,Returning,ORD000049,00:44:52,2228.51,Credit Card,5,5,Yes,Jackets,SKU0049,S,In Stock,Facebook Ads,69
CUST00050,3,Hyderabad,New,ORD000050,00:04:09,500,Net Banking,2,10,No,Dresses,SKU0050,XL,In Stock,Email Marketing,42
CUST00051,37,Mumbai,Returning,ORD000051,00:26:29,2396.47,Wallet,6,0,No,Shirts,SKU0051,S,In Stock,Facebook Ads,3
CUST00052,51,Kolkata,Returning,ORD000052,00:33:20,2218.63,COD,8,0,No,T-Shirts,SKU0052,L,In Stock,Google Ads,55
